,ds,floor,cap
870,2022-07-19,0,17368
871,2022-07-20,0,17368
872,2022-07-21,0,17368
873,2022-07-22,0,17368
874,2022-07-23,0,17368
875,2022-07-24,0,17368
876,2022-07-25,0,17368
877,2022-07-26,0,17368
878,2022-07-27,0,17368
879,2022-07-28,0,17368
880,2022-07-29,0,17368
881,2022-07-30,0,17368
882,2022-07-31,0,17368
883,2022-08-01,0,17368
884,2022-08-02,0,17368
885,2022-08-03,0,17368
886,2022-08-04,0,17368
887,2022-08-05,0,17368
888,2022-08-06,0,17368
889,2022-08-07,0,17368
890,2022-08-08,0,17368
891,2022-08-09,0,17368
892,2022-08-10,0,17368
893,2022-08-11,0,17368
894,2022-08-12,0,17368
895,2022-08-13,0,17368
896,2022-08-14,0,17368
897,2022-08-15,0,17368
898,2022-08-16,0,17368
899,2022-08-17,0,17368
900,2022-08-18,0,17368
901,2022-08-19,0,17368
902,2022-08-20,0,17368
903,2022-08-21,0,17368
904,2022-08-22,0,17368
905,2022-08-23,0,17368
906,2022-08-24,0,17368
907,2022-08-25,0,17368
908,2022-08-26,0,17368
909,2022-08-27,0,17368
910,2022-08-28,0,17368
911,2022-08-29,0,17368
912,2022-08-30,0,17368
913,2022-08-31,0,17368
914,2022-09-01,0,17368
915,2022-09-02,0,17368
916,2022-09-03,0,17368
917,2022-09-04,0,17368
918,2022-09-05,0,17368
919,2022-09-06,0,17368
920,2022-09-07,0,17368
921,2022-09-08,0,17368
922,2022-09-09,0,17368
923,2022-09-10,0,17368
924,2022-09-11,0,17368
925,2022-09-12,0,17368
926,2022-09-13,0,17368
927,2022-09-14,0,17368
928,2022-09-15,0,17368
929,2022-09-16,0,17368
930,2022-09-17,0,17368
931,2022-09-18,0,17368
932,2022-09-19,0,17368
933,2022-09-20,0,17368
934,2022-09-21,0,17368
935,2022-09-22,0,17368
936,2022-09-23,0,17368
937,2022-09-24,0,17368
938,2022-09-25,0,17368
939,2022-09-26,0,17368
940,2022-09-27,0,17368
941,2022-09-28,0,17368
942,2022-09-29,0,17368
943,2022-09-30,0,17368
944,2022-10-01,0,17368
945,2022-10-02,0,17368
946,2022-10-03,0,17368
947,2022-10-04,0,17368
948,2022-10-05,0,17368
949,2022-10-06,0,17368
950,2022-10-07,0,17368
951,2022-10-08,0,17368
952,2022-10-09,0,17368
953,2022-10-10,0,17368
954,2022-10-11,0,17368
955,2022-10-12,0,17368
956,2022-10-13,0,17368
957,2022-10-14,0,17368
958,2022-10-15,0,17368
959,2022-10-16,0,17368
960,2022-10-17,0,17368
961,2022-10-18,0,17368
962,2022-10-19,0,17368
963,2022-10-20,0,17368
964,2022-10-21,0,17368
965,2022-10-22,0,17368
966,2022-10-23,0,17368
967,2022-10-24,0,17368
968,2022-10-25,0,17368
969,2022-10-26,0,17368
970,2022-10-27,0,17368
971,2022-10-28,0,17368
972,2022-10-29,0,17368
973,2022-10-30,0,17368
974,2022-10-31,0,17368
975,2022-11-01,0,17368
976,2022-11-02,0,17368
977,2022-11-03,0,17368
978,2022-11-04,0,17368
979,2022-11-05,0,17368
980,2022-11-06,0,17368
981,2022-11-07,0,17368
982,2022-11-08,0,17368
983,2022-11-09,0,17368
984,2022-11-10,0,17368
985,2022-11-11,0,17368
